,tweet,clean_tweet,hastags,attherate,urls,emojis,tokenized_Tweet,filteredToken,label
1023,"Nagaland reported four new positive cases of COVID-19 on friday,adding the total cases to 12221. 3 positive patients have recovered, taking the total number of recovered cases to 11966 with recovery rate of 97.91 percent. At present, there are 10 active Cases in the state.",nagaland report new posit case covid fridayad total case posit patient recov total number recov case recoveri rate percent present activ case state ,[],[],[],[],"['nagaland', 'reported', 'four', 'new', 'positive', 'cases', 'of', 'covid', 'on', 'fridayadding', 'total', 'cases', 'to', 'positive', 'patients', 'have', 'recovered', 'taking', 'total', 'number', 'of', 'recovered', 'cases', 'to', 'with', 'recovery', 'rate', 'of', 'percent', 'at', 'present', 'there', 'are', 'active', 'cases', 'in', 'state']","['nagaland', 'reported', 'four', 'new', 'positive', 'case', 'covid', 'fridayadding', 'total', 'case', 'positive', 'patient', 'recovered', 'taking', 'total', 'number', 'recovered', 'case', 'recovery', 'rate', 'percent', 'present', 'active', 'case', 'state']",1
1031,"#Maharashtra reports 15,817 new #COVID19 cases, 11,344 discharges and 56 deaths in last 24 hours.  Total cases 22,82,191 Total recoveries 21,17,744 Death toll 52,723  Active cases 1,10,485  https://t.co/90ubiGOqlO",report new case discharg death hour total case total recoveri death toll activ case ,"['#Maharashtra', '#COVID19']",[],['https://t.co/90ubiGOqlO'],[],"['reports', 'new', 'cases', 'discharges', 'and', 'deaths', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['report', 'new', 'case', 'discharge', 'death', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1038,"#Pune reports 3,267 fresh COVID-19 cases, 1,830 recoveries, and 25 deaths in the last 24 hours   Active cases: 21,730 Total recoveries: 4,06,894 Death toll: 9,413  https://t.co/leQo2E7Htb",report fresh covid case recoveri death hour activ case total recoveri death toll ,['#Pune'],[],['https://t.co/leQo2E7Htb'],[],"['reports', 'fresh', 'covid', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'active', 'cases', 'total', 'recoveries', 'death', 'toll']","['report', 'fresh', 'covid', 'case', 'recovery', 'death', 'last', 'hour', 'active', 'case', 'total', 'recovery', 'death', 'toll']",1
1039,"Maharashtra reports 16,620 new COVID-19 cases, 8,861 discharges, and 50 deaths in the last 24 hours  Total cases: 23,14,413 Total discharges: 21,34,072 Death toll: 52,861 Active cases: 1,26,231  https://t.co/YqBCxoRevP",maharashtra report new covid case discharg death hour total case total discharg death toll activ case ,[],[],['https://t.co/YqBCxoRevP'],[],"['maharashtra', 'reports', 'new', 'covid', 'cases', 'discharges', 'and', 'deaths', 'in', 'last', 'hours', 'total', 'cases', 'total', 'discharges', 'death', 'toll', 'active', 'cases']","['maharashtra', 'report', 'new', 'covid', 'case', 'discharge', 'death', 'last', 'hour', 'total', 'case', 'total', 'discharge', 'death', 'toll', 'active', 'case']",1
1040,"Maharashtra: #Nagpur reports 2,252 new #COVID19 cases, 1,033 recoveries &amp; 12 deaths in last 24 hours, as per Civil Surgeon Nagpur   Total cases: 1,70,502 Total recoveries: 1,49,413 Active cases: 16,630 Death toll: 4,459  A week-long lockdown will be imposed in city from tomorrow  https://t.co/HeP32QkCSB",maharashtra report new case recoveri death hour civil surgeon nagpur total case total recoveri activ case death toll weeklong lockdown impos citi tomorrow ,"['#Nagpur', '#COVID19']",[],['https://t.co/HeP32QkCSB'],[],"['maharashtra', 'reports', 'new', 'cases', 'recoveries', 'deaths', 'in', 'last', 'hours', 'as', 'per', 'civil', 'surgeon', 'nagpur', 'total', 'cases', 'total', 'recoveries', 'active', 'cases', 'death', 'toll', 'a', 'weeklong', 'lockdown', 'will', 'imposed', 'in', 'city', 'tomorrow']","['maharashtra', 'report', 'new', 'case', 'recovery', 'death', 'last', 'hour', 'per', 'civil', 'surgeon', 'nagpur', 'total', 'case', 'total', 'recovery', 'active', 'case', 'death', 'toll', 'weeklong', 'lockdown', 'imposed', 'city', 'tomorrow']",1
1073,"#Pune reports 3,574 fresh COVID-19 cases, 1,577 recoveries, and 12 deaths in the last 24 hours   Active cases: 24,204 Total recoveries: 4,10,347 Death toll: 9,440  https://t.co/L1VXUqcfS3",report fresh covid case recoveri death hour activ case total recoveri death toll ,['#Pune'],[],['https://t.co/L1VXUqcfS3'],[],"['reports', 'fresh', 'covid', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'active', 'cases', 'total', 'recoveries', 'death', 'toll']","['report', 'fresh', 'covid', 'case', 'recovery', 'death', 'last', 'hour', 'active', 'case', 'total', 'recovery', 'death', 'toll']",1
1085,"Andhra Pradesh reports 218 new #COVID19 cases and 117 recoveries in the last 24 hours, no deaths reported.  Total cases 8,92,740 Total recoveries 8,83,759 Death toll 7186  Active cases 1795  https://t.co/503K6FyAYX",andhra pradesh report new case recoveri hour death report total case total recoveri death toll activ case ,['#COVID19'],[],['https://t.co/503K6FyAYX'],[],"['andhra', 'pradesh', 'reports', 'new', 'cases', 'and', 'recoveries', 'in', 'last', 'hours', 'no', 'deaths', 'reported', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['andhra', 'pradesh', 'report', 'new', 'case', 'recovery', 'last', 'hour', 'death', 'reported', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1087,"#Maharashtra: #Nagpur district reported 3,796 new #COVID19 cases, 1,277 recoveries, and 23 deaths in the last 24 hours, as per Civil Surgeon  Total cases: 1,82,552 Total recoveries: 1,54,410 Active cases: 23,614 Death toll: 4,528",district report new case recoveri death hour civil surgeon total case total recoveri activ case death toll ,"['#Maharashtra:', '#Nagpur', '#COVID19']",[],[],[],"['district', 'reported', 'new', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'as', 'per', 'civil', 'surgeon', 'total', 'cases', 'total', 'recoveries', 'active', 'cases', 'death', 'toll']","['district', 'reported', 'new', 'case', 'recovery', 'death', 'last', 'hour', 'per', 'civil', 'surgeon', 'total', 'case', 'total', 'recovery', 'active', 'case', 'death', 'toll']",1
1088,"#Goa reports 98 new #COVID19 cases, one death and 41 recoveries in the last 24 hours. Total cases in the state rise to 56,271, including 54,597 recoveries and 813 deaths. Active cases stand at 861: Directorate of Health Services, Goa  https://t.co/61MsyH2kKV",report new case death recoveri hour total case state rise includ recoveri death activ case stand director health servic goa ,"['#Goa', '#COVID19']",[],['https://t.co/61MsyH2kKV'],[],"['reports', 'new', 'cases', 'one', 'death', 'and', 'recoveries', 'in', 'last', 'hours', 'total', 'cases', 'in', 'state', 'rise', 'to', 'including', 'recoveries', 'and', 'deaths', 'active', 'cases', 'stand', 'at', 'directorate', 'of', 'health', 'services', 'goa']","['report', 'new', 'case', 'one', 'death', 'recovery', 'last', 'hour', 'total', 'case', 'state', 'rise', 'including', 'recovery', 'death', 'active', 'case', 'stand', 'directorate', 'health', 'service', 'goa']",1
1089,"Chandigarh reports 211 new #COVID19 cases taking the total number of cases to 23,803.   Number of active cases now at 1,466 and death toll stands at 359: Health Department, Chandigarh  https://t.co/BYaaMwFoWP",chandigarh report new case total number case number activ case death toll stand health depart chandigarh ,['#COVID19'],[],['https://t.co/BYaaMwFoWP'],[],"['chandigarh', 'reports', 'new', 'cases', 'taking', 'total', 'number', 'of', 'cases', 'to', 'number', 'of', 'active', 'cases', 'now', 'at', 'and', 'death', 'toll', 'stands', 'at', 'health', 'department', 'chandigarh']","['chandigarh', 'report', 'new', 'case', 'taking', 'total', 'number', 'case', 'number', 'active', 'case', 'death', 'toll', 'stand', 'health', 'department', 'chandigarh']",1
1091,"#MadhyaPradesh: Indore reports 309 fresh COVID-19 cases and 214 recoveries in the last 24 hours  Total cases: 63,510 Total recoveries: 60,606 Death toll: 944 Active cases: 1,960",indor report fresh covid case recoveri hour total case total recoveri death toll activ case ,['#MadhyaPradesh:'],[],[],[],"['indore', 'reports', 'fresh', 'covid', 'cases', 'and', 'recoveries', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['indore', 'report', 'fresh', 'covid', 'case', 'recovery', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1093,"#Maharashtra: #Aurangabad reported 1,557 fresh COVID-19 cases and 15 deaths yesterday   Total cases in the district: 62,992 Total recoveries: 53,039 Death toll: 1,383 Total active cases: 8,570",report fresh covid case death yesterday total case district total recoveri death toll total activ case ,"['#Maharashtra:', '#Aurangabad']",[],[],[],"['reported', 'fresh', 'covid', 'cases', 'and', 'deaths', 'yesterday', 'total', 'cases', 'in', 'district', 'total', 'recoveries', 'death', 'toll', 'total', 'active', 'cases']","['reported', 'fresh', 'covid', 'case', 'death', 'yesterday', 'total', 'case', 'district', 'total', 'recovery', 'death', 'toll', 'total', 'active', 'case']",1
1094,"#Mumbai reports 2,877 new #COVID19 cases, 1,193 recoveries, and eight deaths, as per Brihanmumbai Municipal Corporation  Total cases: 3,52,835 Total recoveries: 3,21,947 Active patients: 18,424 Deaths: 11,555  https://t.co/DuTdRBjqLX",report new case recoveri death brihanmumbai municip corpor total case total recoveri activ patient death ,"['#Mumbai', '#COVID19']",[],['https://t.co/DuTdRBjqLX'],[],"['reports', 'new', 'cases', 'recoveries', 'and', 'eight', 'deaths', 'as', 'per', 'brihanmumbai', 'municipal', 'corporation', 'total', 'cases', 'total', 'recoveries', 'active', 'patients', 'deaths']","['report', 'new', 'case', 'recovery', 'eight', 'death', 'per', 'brihanmumbai', 'municipal', 'corporation', 'total', 'case', 'total', 'recovery', 'active', 'patient', 'death']",1
1095,"#Maharashtra reports 25,833 new #COVID19 cases, 12,764 discharges and 58 deaths in the last 24 hours  Total cases: 23,96,340 Total discharges: 21,75,565 Active cases: 1,66,353 Death toll: 53,138  https://t.co/wLKz6Yvoyj",report new case discharg death hour total case total discharg activ case death toll ,"['#Maharashtra', '#COVID19']",[],['https://t.co/wLKz6Yvoyj'],[],"['reports', 'new', 'cases', 'discharges', 'and', 'deaths', 'in', 'last', 'hours', 'total', 'cases', 'total', 'discharges', 'active', 'cases', 'death', 'toll']","['report', 'new', 'case', 'discharge', 'death', 'last', 'hour', 'total', 'case', 'total', 'discharge', 'active', 'case', 'death', 'toll']",1
1098,"Tamil Nadu records 989 new #COVID19 infections, nine fatalities, 569 recoveries. Infection tally rises to 8.63 lakh, death toll 12,573. There are 6,222 active cases of the disease in the state.",tamil nadu record new infect fatal recoveri infect talli rise lakh death toll activ case diseas state ,['#COVID19'],[],[],[],"['tamil', 'nadu', 'records', 'new', 'infections', 'nine', 'fatalities', 'recoveries', 'infection', 'tally', 'rises', 'to', 'lakh', 'death', 'toll', 'there', 'are', 'active', 'cases', 'of', 'disease', 'in', 'state']","['tamil', 'nadu', 'record', 'new', 'infection', 'nine', 'fatality', 'recovery', 'infection', 'tally', 'rise', 'lakh', 'death', 'toll', 'active', 'case', 'disease', 'state']",1
1100,"Madhya Pradesh reports 917 new #COVID19 cases, 500 recoveries, one fatality. Infection tally rises to 2,71,957, death toll 3,894. Number of active cases of the disease in the state stands at 6,032.",madhya pradesh report new case recoveri fatal infect talli rise death toll number activ case diseas state stand ,['#COVID19'],[],[],[],"['madhya', 'pradesh', 'reports', 'new', 'cases', 'recoveries', 'one', 'fatality', 'infection', 'tally', 'rises', 'to', 'death', 'toll', 'number', 'of', 'active', 'cases', 'of', 'disease', 'in', 'state', 'stands', 'at']","['madhya', 'pradesh', 'report', 'new', 'case', 'recovery', 'one', 'fatality', 'infection', 'tally', 'rise', 'death', 'toll', 'number', 'active', 'case', 'disease', 'state', 'stand']",1
1101,"Jammu and Kashmir reports 140 new #COVID19 cases, one fatality. Infection tally rises to 1,28,097, death toll 1,978. The number of active cases of the disease in the union territory stands at 1,073.",jammu kashmir report new case fatal infect talli rise death toll number activ case diseas union territori stand ,['#COVID19'],[],[],[],"['jammu', 'and', 'kashmir', 'reports', 'new', 'cases', 'one', 'fatality', 'infection', 'tally', 'rises', 'to', 'death', 'toll', 'number', 'of', 'active', 'cases', 'of', 'disease', 'in', 'union', 'territory', 'stands', 'at']","['jammu', 'kashmir', 'report', 'new', 'case', 'one', 'fatality', 'infection', 'tally', 'rise', 'death', 'toll', 'number', 'active', 'case', 'disease', 'union', 'territory', 'stand']",1
1103,"#Mumbai reports 2,877 new #Covid19 cases eight deaths; tally rises to 3,52,835, toll jumps to 11,555: BMC (ANI) #CoronavirusOutbreak #coronavirusindia",report new case death talli rise toll jump bmc ani ,"['#Mumbai', '#Covid19', '#CoronavirusOutbreak', '#coronavirusindia']",[],[],[],"['reports', 'new', 'cases', 'eight', 'deaths', 'tally', 'rises', 'to', 'toll', 'jumps', 'to', 'bmc', 'ani']","['report', 'new', 'case', 'eight', 'death', 'tally', 'rise', 'toll', 'jump', 'bmc', 'ani']",1
1115,"@Narendramodi_PM @PMOIndia @HMOIndia @AmitShah @digvijaya_28 @AmitShahOffice @NitishKumar @ArvindKejriwal @myogiadityanath @DrMohanBhagwat @narenderamodi_ @narendramodi @RSSorg @RSS_Org @KapilMishraAAP @arunjaitley @MamataOfficial @yadavtejashwi @yadavakhileshsp @GaurMalini @CMOMaharashtra @cmohry @CMOGuj @CMOUP_RC @CMORajsthan @Manekagandhibjp @GandhiSonia2013 @NarandraT @BJP4India @KailashOnline @ShatruganSinha @BeingSalmanKhan @SirPareshRawal @filmfare @akshaykumar @SUNILSHETTY @comindore @IndoreCollector @dmchhindwara @KamalNath_ @OfficeOfKNath @ashokgehlot51 @RahulGandhi @ChouhanShivraj @DGP_MP @hariips @ADG_INDORE_ZONE @naroo_mon @bhupendrasingho Madhya Pradesh: Indore reports 309 fresh COVID-19 cases and 214 recoveries in the last 24 hours  Total cases: 63,510 Total recoveries: 60,606 Death toll: 944 Active cases: 1,960  https://t.co/YwDnJDdV3A",madhya pradesh indor report fresh covid case recoveri hour total case total recoveri death toll activ case ,[],"['@Narendramodi_PM', '@PMOIndia', '@HMOIndia', '@AmitShah', '@digvijaya_28', '@AmitShahOffice', '@NitishKumar', '@ArvindKejriwal', '@myogiadityanath', '@DrMohanBhagwat', '@narenderamodi_', '@narendramodi', '@RSSorg', '@RSS_Org', '@KapilMishraAAP', '@arunjaitley', '@MamataOfficial', '@yadavtejashwi', '@yadavakhileshsp', '@GaurMalini', '@CMOMaharashtra', '@cmohry', '@CMOGuj', '@CMOUP_RC', '@CMORajsthan', '@Manekagandhibjp', '@GandhiSonia2013', '@NarandraT', '@BJP4India', '@KailashOnline', '@ShatruganSinha', '@BeingSalmanKhan', '@SirPareshRawal', '@filmfare', '@akshaykumar', '@SUNILSHETTY', '@comindore', '@IndoreCollector', '@dmchhindwara', '@KamalNath_', '@OfficeOfKNath', '@ashokgehlot51', '@RahulGandhi', '@ChouhanShivraj', '@DGP_MP', '@hariips', '@ADG_INDORE_ZONE', '@naroo_mon', '@bhupendrasingho']",['https://t.co/YwDnJDdV3A'],[],"['madhya', 'pradesh', 'indore', 'reports', 'fresh', 'covid', 'cases', 'and', 'recoveries', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['madhya', 'pradesh', 'indore', 'report', 'fresh', 'covid', 'case', 'recovery', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1118,"Madhya Pradesh: Indore reports 309 fresh COVID-19 cases and 214 recoveries in the last 24 hours  Total cases: 63,510 Total recoveries: 60,606 Death toll: 944 Active cases: 1,960",madhya pradesh indor report fresh covid case recoveri hour total case total recoveri death toll activ case ,[],[],[],[],"['madhya', 'pradesh', 'indore', 'reports', 'fresh', 'covid', 'cases', 'and', 'recoveries', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['madhya', 'pradesh', 'indore', 'report', 'fresh', 'covid', 'case', 'recovery', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1138,"#COVID19   3495 Cases; 61 Deaths  Tests 44,377  👹Positivity 7.9%  👺👺👺Last 24 hours report 17th March 21👺👺  https://t.co/ELkoD3ZPDD",case death test posit hour report march ,['#COVID19'],[],['https://t.co/ELkoD3ZPDD'],"['👹', '👺', '👺', '👺', '👺', '👺']","['cases', 'deaths', 'tests', 'positivity', 'last', 'hours', 'report', 'th', 'march']","['case', 'death', 'test', 'positivity', 'last', 'hour', 'report', 'th', 'march']",1
1139,Clearly surging. Karnataka had 1488 fresh #COVID19 cases on Wednesday with 8 deaths. It was 1275 cases &amp; 4 deaths on Tue. B'luru had 7 deaths &amp; 925 cases on Wed while it was 786 cases &amp; 3 deaths on Tue (sorry couldn't upload y'day due to travel).,clearli surg karnataka fresh case wednesday death case death tue bluru death case wed case death tue sorri couldnt upload yday travel ,['#COVID19'],[],[],[],"['clearly', 'surging', 'karnataka', 'had', 'fresh', 'cases', 'on', 'wednesday', 'with', 'deaths', 'it', 'was', 'cases', 'deaths', 'on', 'tue', 'bluru', 'had', 'deaths', 'cases', 'on', 'wed', 'while', 'it', 'was', 'cases', 'deaths', 'on', 'tue', 'sorry', 'couldnt', 'upload', 'yday', 'due', 'to', 'travel']","['clearly', 'surging', 'karnataka', 'fresh', 'case', 'wednesday', 'death', 'case', 'death', 'tue', 'bluru', 'death', 'case', 'wed', 'case', 'death', 'tue', 'sorry', 'couldnt', 'upload', 'yday', 'due', 'travel']",1
1151,"#TamilNadu | #COVID19 |  20 Mar  ● TN - 1,243  ● Total Cases  - 8,65,693  ● Chennai - 458  ● Today's  Discharged - 634  ● Today's Deaths - 08  #TNCoronaUpdates  #COVID19 #COVID19India #India #TamilNadu #Chennai #Subash",mar total case chennai today discharg today death ,"['#TamilNadu', '#COVID19', '#TNCoronaUpdates', '#COVID19', '#COVID19India', '#India', '#TamilNadu', '#Chennai', '#Subash']",[],[],[],"['mar', '●', 'tn', '●', 'total', 'cases', '●', 'chennai', '●', 'todays', 'discharged', '●', 'todays', 'deaths']","['mar', '●', 'tn', '●', 'total', 'case', '●', 'chennai', '●', 'today', 'discharged', '●', 'today', 'death']",1
1157,"#Gujarat on Saturday reported 1,565 new #COVID19 cases, pushing the tally to 2,85,429, while the death toll reached 4,443 with six more fatalities, health officials said.  https://t.co/pXZNjFNZGT",saturday report new case push talli death toll reach fatal health offici ,"['#Gujarat', '#COVID19']",[],['https://t.co/pXZNjFNZGT'],[],"['on', 'saturday', 'reported', 'new', 'cases', 'pushing', 'tally', 'to', 'while', 'death', 'toll', 'reached', 'with', 'six', 'more', 'fatalities', 'health', 'officials', 'said']","['saturday', 'reported', 'new', 'case', 'pushing', 'tally', 'death', 'toll', 'reached', 'six', 'fatality', 'health', 'official', 'said']",1
1158,"#Delhi reports 813 new #COVID19 cases, 567 recoveries and 2 deaths in the last 24 hours.  Total cases 6,47,161 Total recoveries 6,32,797 Death toll 10,955  Active cases 3,409  https://t.co/z1rKUaVwPm",report new case recoveri death hour total case total recoveri death toll activ case ,"['#Delhi', '#COVID19']",[],['https://t.co/z1rKUaVwPm'],[],"['reports', 'new', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['report', 'new', 'case', 'recovery', 'death', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1159,"Maharashtra: #Nagpur District reported 3679 new #COVID19 cases, 1594 recoveries, and 29 deaths in the last 24 hours, as per Civil Surgeon Nagpur,    Total cases: 1,89,466 Total recoveries: 1,57,249 Active cases: 27,625 Death toll: 4592",maharashtra district report new case recoveri death hour civil surgeon nagpur total case total recoveri activ case death toll ,"['#Nagpur', '#COVID19']",[],[],[],"['maharashtra', 'district', 'reported', 'new', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'as', 'per', 'civil', 'surgeon', 'nagpur', 'total', 'cases', 'total', 'recoveries', 'active', 'cases', 'death', 'toll']","['maharashtra', 'district', 'reported', 'new', 'case', 'recovery', 'death', 'last', 'hour', 'per', 'civil', 'surgeon', 'nagpur', 'total', 'case', 'total', 'recovery', 'active', 'case', 'death', 'toll']",1
1160,"Karnataka reports 1,798 new #COVID19 cases, 1,030 recoveries, and seven deaths in the last 24 hours  Total cases: 9,68,487 Total recoveries: 9,43,208 Death toll: 12,432 Active cases: 12,828  https://t.co/jPAPxtsX5l",karnataka report new case recoveri seven death hour total case total recoveri death toll activ case ,['#COVID19'],[],['https://t.co/jPAPxtsX5l'],[],"['karnataka', 'reports', 'new', 'cases', 'recoveries', 'and', 'seven', 'deaths', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['karnataka', 'report', 'new', 'case', 'recovery', 'seven', 'death', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1161,"Tamil Nadu reports 1,243 fresh COVID-19 cases, 634 discharges, and 8 deaths  Total cases: 8,65,693 Total discharges: 8,45,812 Active cases: 7,291 Death toll: 12,590  https://t.co/GVlVPkXLEe",tamil nadu report fresh covid case discharg death total case total discharg activ case death toll ,[],[],['https://t.co/GVlVPkXLEe'],[],"['tamil', 'nadu', 'reports', 'fresh', 'covid', 'cases', 'discharges', 'and', 'deaths', 'total', 'cases', 'total', 'discharges', 'active', 'cases', 'death', 'toll']","['tamil', 'nadu', 'report', 'fresh', 'covid', 'case', 'discharge', 'death', 'total', 'case', 'total', 'discharge', 'active', 'case', 'death', 'toll']",1
1162,"Punjab reports 2587 new #COVID19 cases, 1011 recoveries and 38 deaths in the last 24 hours.  Total cases 2,10,466 Total recoveries 1,87,198 Death toll 6,280  Active cases 16,988  https://t.co/vr2sdhAHCB",punjab report new case recoveri death hour total case total recoveri death toll activ case ,['#COVID19'],[],['https://t.co/vr2sdhAHCB'],[],"['punjab', 'reports', 'new', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['punjab', 'report', 'new', 'case', 'recovery', 'death', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1163,"Madhya Pradesh reports 1380 new #COVID19 cases, 571 recoveries and 2 deaths in the last 24 hours.  Total cases 2,74,405 Total recoveries 2,63,158 Death toll 3903  Active cases 7344  https://t.co/fmSHnS0xmB",madhya pradesh report new case recoveri death hour total case total recoveri death toll activ case ,['#COVID19'],[],['https://t.co/fmSHnS0xmB'],[],"['madhya', 'pradesh', 'reports', 'new', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['madhya', 'pradesh', 'report', 'new', 'case', 'recovery', 'death', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1164,"Maharashtra reports 27,126 new #COVID19 cases, 13,588 recoveries and 92 deaths in the last 24 hours.  Total cases 24,49,147 Total recoveries 22,03,553 Death toll 53,300  Active cases 1,91,006  https://t.co/I3O4S8AQhI",maharashtra report new case recoveri death hour total case total recoveri death toll activ case ,['#COVID19'],[],['https://t.co/I3O4S8AQhI'],[],"['maharashtra', 'reports', 'new', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['maharashtra', 'report', 'new', 'case', 'recovery', 'death', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1165,"Haryana reports 821 new #COVID19 cases, 368 recoveries &amp; three deaths in the last 24 hours  Total cases: 2,78,961 Total recoveries: 2,71,038 Death toll: 3,093 Active cases: 4,830  https://t.co/0GCiWgwc5K",haryana report new case recoveri death hour total case total recoveri death toll activ case ,['#COVID19'],[],['https://t.co/0GCiWgwc5K'],[],"['haryana', 'reports', 'new', 'cases', 'recoveries', 'three', 'deaths', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['haryana', 'report', 'new', 'case', 'recovery', 'three', 'death', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1166,"Jharkhand reported 123 new COVID-19 cases and 54 recoveries yesterday, as per State Health Department   Total cases: 1,21,178 Active cases: 722 Total recoveries: 1,19,361 Death toll: 1,095",jharkhand report new covid case recoveri yesterday state health depart total case activ case total recoveri death toll ,[],[],[],[],"['jharkhand', 'reported', 'new', 'covid', 'cases', 'and', 'recoveries', 'yesterday', 'as', 'per', 'state', 'health', 'department', 'total', 'cases', 'active', 'cases', 'total', 'recoveries', 'death', 'toll']","['jharkhand', 'reported', 'new', 'covid', 'case', 'recovery', 'yesterday', 'per', 'state', 'health', 'department', 'total', 'case', 'active', 'case', 'total', 'recovery', 'death', 'toll']",1
1173,"#Maharashtra reports 27,126 new #COVID19 cases and 92 deaths in the last 24 hours. Total number of cases rises to 24,49,147, death toll stands at 53,300",report new case death hour total number case rise death toll stand ,"['#Maharashtra', '#COVID19']",[],[],[],"['reports', 'new', 'cases', 'and', 'deaths', 'in', 'last', 'hours', 'total', 'number', 'of', 'cases', 'rises', 'to', 'death', 'toll', 'stands', 'at']","['report', 'new', 'case', 'death', 'last', 'hour', 'total', 'number', 'case', 'rise', 'death', 'toll', 'stand']",1
1265,"Covid-19 Lockdown 2021: Punjab reports 2,914 new cases, 59 deaths  https://t.co/18YK3oeQOP",covid lockdown punjab report new case death ,[],[],['https://t.co/18YK3oeQOP'],[],"['covid', 'lockdown', 'punjab', 'reports', 'new', 'cases', 'deaths']","['covid', 'lockdown', 'punjab', 'report', 'new', 'case', 'death']",1
