,tweet,clean_tweet,hastags,attherate,urls,emojis,tokenized_Tweet,filteredToken,label
1268,"#Pune district reports 4,961 COVID-19 cases; 31 fatalities push death toll to 4,961",district report covid case fatal push death toll ,['#Pune'],[],[],[],"['district', 'reports', 'covid', 'cases', 'fatalities', 'push', 'death', 'toll', 'to']","['district', 'report', 'covid', 'case', 'fatality', 'push', 'death', 'toll']",1
1294,"""Over 85% of new COVID-19 cases are from six states across India""   https://t.co/BlHN04jdQP",new covid case state india ,[],[],['https://t.co/BlHN04jdQP'],[],"['over', 'of', 'new', 'covid', 'cases', 'are', 'six', 'states', 'across', 'india']","['new', 'covid', 'case', 'six', 'state', 'across', 'india']",1
1379,Karnataka recorded 590 fresh #Covid_19 cases &amp; 6 deaths on Monday.  Bengaluru had 363 new  cases &amp; 4 deaths. Dharwad &amp; Tumakuru had 1 death each. Total tests: 66426 +vity rate 0.88%.  @ChitraSundaram7 @scooban @Amit_A_Tiwari @dr_asr @SunithaNahar @sun_usind,karnataka record fresh case death monday bengaluru new case death dharwad tumakuru death total test viti rate ,['#Covid_19'],"['@ChitraSundaram7', '@scooban', '@Amit_A_Tiwari', '@dr_asr', '@SunithaNahar', '@sun_usind']",[],[],"['karnataka', 'recorded', 'fresh', 'cases', 'deaths', 'on', 'monday', 'bengaluru', 'had', 'new', 'cases', 'deaths', 'dharwad', 'tumakuru', 'had', 'death', 'each', 'total', 'tests', 'vity', 'rate']","['karnataka', 'recorded', 'fresh', 'case', 'death', 'monday', 'bengaluru', 'new', 'case', 'death', 'dharwad', 'tumakuru', 'death', 'total', 'test', 'vity', 'rate']",1
1395,"#Pune reports 3,574 fresh COVID-19 cases, 1,577 recoveries, and 12 deaths in the last 24 hours   Active cases: 24,204 Total recoveries: 4,10,347 Death toll: 9,440  https://t.co/L1VXUqcfS3",report fresh covid case recoveri death hour activ case total recoveri death toll ,['#Pune'],[],['https://t.co/L1VXUqcfS3'],[],"['reports', 'fresh', 'covid', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'active', 'cases', 'total', 'recoveries', 'death', 'toll']","['report', 'fresh', 'covid', 'case', 'recovery', 'death', 'last', 'hour', 'active', 'case', 'total', 'recovery', 'death', 'toll']",1
1404,"#MadhyaPradesh: Indore reports 309 fresh COVID-19 cases and 214 recoveries in the last 24 hours  Total cases: 63,510 Total recoveries: 60,606 Death toll: 944 Active cases: 1,960",indor report fresh covid case recoveri hour total case total recoveri death toll activ case ,['#MadhyaPradesh:'],[],[],[],"['indore', 'reports', 'fresh', 'covid', 'cases', 'and', 'recoveries', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['indore', 'report', 'fresh', 'covid', 'case', 'recovery', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1406,"#Maharashtra: #Aurangabad reported 1,557 fresh COVID-19 cases and 15 deaths yesterday   Total cases in the district: 62,992 Total recoveries: 53,039 Death toll: 1,383 Total active cases: 8,570",report fresh covid case death yesterday total case district total recoveri death toll total activ case ,"['#Maharashtra:', '#Aurangabad']",[],[],[],"['reported', 'fresh', 'covid', 'cases', 'and', 'deaths', 'yesterday', 'total', 'cases', 'in', 'district', 'total', 'recoveries', 'death', 'toll', 'total', 'active', 'cases']","['reported', 'fresh', 'covid', 'case', 'death', 'yesterday', 'total', 'case', 'district', 'total', 'recovery', 'death', 'toll', 'total', 'active', 'case']",1
1420,"@Narendramodi_PM @PMOIndia @HMOIndia @AmitShah @digvijaya_28 @AmitShahOffice @NitishKumar @ArvindKejriwal @myogiadityanath @DrMohanBhagwat @narenderamodi_ @narendramodi @RSSorg @RSS_Org @KapilMishraAAP @arunjaitley @MamataOfficial @yadavtejashwi @yadavakhileshsp @GaurMalini @CMOMaharashtra @cmohry @CMOGuj @CMOUP_RC @CMORajsthan @Manekagandhibjp @GandhiSonia2013 @NarandraT @BJP4India @KailashOnline @ShatruganSinha @BeingSalmanKhan @SirPareshRawal @filmfare @akshaykumar @SUNILSHETTY @comindore @IndoreCollector @dmchhindwara @KamalNath_ @OfficeOfKNath @ashokgehlot51 @RahulGandhi @ChouhanShivraj @DGP_MP @hariips @ADG_INDORE_ZONE @naroo_mon @bhupendrasingho Madhya Pradesh: Indore reports 309 fresh COVID-19 cases and 214 recoveries in the last 24 hours  Total cases: 63,510 Total recoveries: 60,606 Death toll: 944 Active cases: 1,960  https://t.co/YwDnJDdV3A",madhya pradesh indor report fresh covid case recoveri hour total case total recoveri death toll activ case ,[],"['@Narendramodi_PM', '@PMOIndia', '@HMOIndia', '@AmitShah', '@digvijaya_28', '@AmitShahOffice', '@NitishKumar', '@ArvindKejriwal', '@myogiadityanath', '@DrMohanBhagwat', '@narenderamodi_', '@narendramodi', '@RSSorg', '@RSS_Org', '@KapilMishraAAP', '@arunjaitley', '@MamataOfficial', '@yadavtejashwi', '@yadavakhileshsp', '@GaurMalini', '@CMOMaharashtra', '@cmohry', '@CMOGuj', '@CMOUP_RC', '@CMORajsthan', '@Manekagandhibjp', '@GandhiSonia2013', '@NarandraT', '@BJP4India', '@KailashOnline', '@ShatruganSinha', '@BeingSalmanKhan', '@SirPareshRawal', '@filmfare', '@akshaykumar', '@SUNILSHETTY', '@comindore', '@IndoreCollector', '@dmchhindwara', '@KamalNath_', '@OfficeOfKNath', '@ashokgehlot51', '@RahulGandhi', '@ChouhanShivraj', '@DGP_MP', '@hariips', '@ADG_INDORE_ZONE', '@naroo_mon', '@bhupendrasingho']",['https://t.co/YwDnJDdV3A'],[],"['madhya', 'pradesh', 'indore', 'reports', 'fresh', 'covid', 'cases', 'and', 'recoveries', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['madhya', 'pradesh', 'indore', 'report', 'fresh', 'covid', 'case', 'recovery', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1422,"Madhya Pradesh: Indore reports 309 fresh COVID-19 cases and 214 recoveries in the last 24 hours  Total cases: 63,510 Total recoveries: 60,606 Death toll: 944 Active cases: 1,960",madhya pradesh indor report fresh covid case recoveri hour total case total recoveri death toll activ case ,[],[],[],[],"['madhya', 'pradesh', 'indore', 'reports', 'fresh', 'covid', 'cases', 'and', 'recoveries', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['madhya', 'pradesh', 'indore', 'report', 'fresh', 'covid', 'case', 'recovery', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1449,"Tamil Nadu reports 1,243 fresh COVID-19 cases, 634 discharges, and 8 deaths  Total cases: 8,65,693 Total discharges: 8,45,812 Active cases: 7,291 Death toll: 12,590  https://t.co/GVlVPkXLEe",tamil nadu report fresh covid case discharg death total case total discharg activ case death toll ,[],[],['https://t.co/GVlVPkXLEe'],[],"['tamil', 'nadu', 'reports', 'fresh', 'covid', 'cases', 'discharges', 'and', 'deaths', 'total', 'cases', 'total', 'discharges', 'active', 'cases', 'death', 'toll']","['tamil', 'nadu', 'report', 'fresh', 'covid', 'case', 'discharge', 'death', 'total', 'case', 'total', 'discharge', 'active', 'case', 'death', 'toll']",1
1450,"Jharkhand reported 123 new COVID-19 cases and 54 recoveries yesterday, as per State Health Department   Total cases: 1,21,178 Active cases: 722 Total recoveries: 1,19,361 Death toll: 1,095",jharkhand report new covid case recoveri yesterday state health depart total case activ case total recoveri death toll ,[],[],[],[],"['jharkhand', 'reported', 'new', 'covid', 'cases', 'and', 'recoveries', 'yesterday', 'as', 'per', 'state', 'health', 'department', 'total', 'cases', 'active', 'cases', 'total', 'recoveries', 'death', 'toll']","['jharkhand', 'reported', 'new', 'covid', 'case', 'recovery', 'yesterday', 'per', 'state', 'health', 'department', 'total', 'case', 'active', 'case', 'total', 'recovery', 'death', 'toll']",1
1474,"Out of 16820 COVID-19 tests carried out on 28 March  2021, 1027 new cases have been detected among 309 expatriate workers, 702 new cases are contacts of active cases, and 16 are travel related. There were 643 recoveries from COVID19, increasing total recoveries to 133098  https://t.co/MTNLeQRYsE",covid test carri march new case detect expatri worker new case contact activ case travel relat recoveri covid increas total recoveri ,[],[],['https://t.co/MTNLeQRYsE'],[],"['out', 'of', 'covid', 'tests', 'carried', 'out', 'on', 'march', 'new', 'cases', 'have', 'been', 'detected', 'among', 'expatriate', 'workers', 'new', 'cases', 'are', 'contacts', 'of', 'active', 'cases', 'and', 'are', 'travel', 'related', 'there', 'were', 'recoveries', 'covid', 'increasing', 'total', 'recoveries', 'to']","['covid', 'test', 'carried', 'march', 'new', 'case', 'detected', 'among', 'expatriate', 'worker', 'new', 'case', 'contact', 'active', 'case', 'travel', 'related', 'recovery', 'covid', 'increasing', 'total', 'recovery']",1
1530,"29.03.2021 InTamilNadu,nearly after 4 months daily #Covid_19 +ve cases exceeded 2000&amp;today stood at 2279. In Chennai it reached 815&amp;1460in other districts. Total cases inTN:881752;inChennai-245534  (27.5%).Discharged cases- 855085(97.9%);fatalities-  12684(1.4%)active cases 13983",intamilnadunearli month daili case exceed amptoday stood chennai reach ampin district total case intninchennai discharg case fatal activ case ,['#Covid_19'],[],[],[],"['intamilnadunearly', 'after', 'months', 'daily', 've', 'cases', 'exceeded', 'amptoday', 'stood', 'at', 'in', 'chennai', 'it', 'reached', 'ampin', 'other', 'districts', 'total', 'cases', 'intn', 'inchennai', 'discharged', 'cases', 'fatalities', 'active', 'cases']","['intamilnadunearly', 'month', 'daily', 've', 'case', 'exceeded', 'amptoday', 'stood', 'chennai', 'reached', 'ampin', 'district', 'total', 'case', 'intninchennai', 'discharged', 'case', 'fatality', 'active', 'case']",1
1569,"Haryana reported 555 new COVID-19 cases, 295 recoveries, and 4 deaths on March 17  Total cases: 2,76,635 Total recoveries: 2,69,812 Active cases: 3,740 Death toll: 3,083 Total vaccination in the state: 7,63,095  https://t.co/xzcaYCLdDu",haryana report new covid case recoveri death march total case total recoveri activ case death toll total vaccin state ,[],[],['https://t.co/xzcaYCLdDu'],[],"['haryana', 'reported', 'new', 'covid', 'cases', 'recoveries', 'and', 'deaths', 'on', 'march', 'total', 'cases', 'total', 'recoveries', 'active', 'cases', 'death', 'toll', 'total', 'vaccination', 'in', 'state']","['haryana', 'reported', 'new', 'covid', 'case', 'recovery', 'death', 'march', 'total', 'case', 'total', 'recovery', 'active', 'case', 'death', 'toll', 'total', 'vaccination', 'state']",1
1617,"#UttarPradesh reports 1,061 new #COVID19 cases, four fatalities. Infection tally rises to 6,12,351, death toll 8,783. Number of active cases in the state stands at 6,615.",report new case fatal infect talli rise death toll number activ case state stand ,"['#UttarPradesh', '#COVID19']",[],[],[],"['reports', 'new', 'cases', 'four', 'fatalities', 'infection', 'tally', 'rises', 'to', 'death', 'toll', 'number', 'of', 'active', 'cases', 'in', 'state', 'stands', 'at']","['report', 'new', 'case', 'four', 'fatality', 'infection', 'tally', 'rise', 'death', 'toll', 'number', 'active', 'case', 'state', 'stand']",1
1620,Assam in the last 24 hours reported 46 new Covid-19 cases - highest number of positive cases detected in the last five days  #AssamAssemblyPolls #COVID19,assam hour report new covid case highest number posit case detect day ,"['#AssamAssemblyPolls', '#COVID19']",[],[],[],"['assam', 'in', 'last', 'hours', 'reported', 'new', 'covid', 'cases', 'highest', 'number', 'of', 'positive', 'cases', 'detected', 'in', 'last', 'five', 'days']","['assam', 'last', 'hour', 'reported', 'new', 'covid', 'case', 'highest', 'number', 'positive', 'case', 'detected', 'last', 'five', 'day']",1
1637,"#Odisha reported 210 new #COVID19 cases, 73 recoveries and 1 death on March 26.   Total cases: 3,39,904 Total recoveries: 3,36,482 Active cases: 1,449 Total deaths: 1,920",report new case recoveri death march total case total recoveri activ case total death ,"['#Odisha', '#COVID19']",[],[],[],"['reported', 'new', 'cases', 'recoveries', 'and', 'death', 'on', 'march', 'total', 'cases', 'total', 'recoveries', 'active', 'cases', 'total', 'deaths']","['reported', 'new', 'case', 'recovery', 'death', 'march', 'total', 'case', 'total', 'recovery', 'active', 'case', 'total', 'death']",1
1638,"#AndhraPradesh reports 947 new #COVID19 cases, taking the total number of cases to 8,97,810.  https://t.co/veaKP7ruNH",report new case total number case ,"['#AndhraPradesh', '#COVID19']",[],['https://t.co/veaKP7ruNH'],[],"['reports', 'new', 'cases', 'taking', 'total', 'number', 'of', 'cases', 'to']","['report', 'new', 'case', 'taking', 'total', 'number', 'case']",1
1639,"Maharashtra: #Nagpur district reported 3688 new #COVID19 cases, 3227 recoveries, and 54 deaths in the last 24 hours, as per Civil Surgeon.   Total cases: 2,14,850 Total recoveries: 1,72,634 Active cases: 37,343 Death toll: 4873",maharashtra district report new case recoveri death hour civil surgeon total case total recoveri activ case death toll ,"['#Nagpur', '#COVID19']",[],[],[],"['maharashtra', 'district', 'reported', 'new', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'as', 'per', 'civil', 'surgeon', 'total', 'cases', 'total', 'recoveries', 'active', 'cases', 'death', 'toll']","['maharashtra', 'district', 'reported', 'new', 'case', 'recovery', 'death', 'last', 'hour', 'per', 'civil', 'surgeon', 'total', 'case', 'total', 'recovery', 'active', 'case', 'death', 'toll']",1
1640,"#Delhi reports 1558 new #COVID19 cases, 974 recoveries and 10 deaths.  Total cases: 6,55,834 Total recoveries: 6,38,212 Total deaths: 10,997 Active cases: 6,625  https://t.co/dkLp5PBu5n",report new case recoveri death total case total recoveri total death activ case ,"['#Delhi', '#COVID19']",[],['https://t.co/dkLp5PBu5n'],[],"['reports', 'new', 'cases', 'recoveries', 'and', 'deaths', 'total', 'cases', 'total', 'recoveries', 'total', 'deaths', 'active', 'cases']","['report', 'new', 'case', 'recovery', 'death', 'total', 'case', 'total', 'recovery', 'total', 'death', 'active', 'case']",1
1641,"#Karnataka reports 2886 new #COVID19 cases, 1179 discharges and 08 deaths today.  Total cases 9,83,930 Total recoveries 9,50,167 Death toll 12,492  Active cases 21,252  https://t.co/BJ1ZjdL0eD",report new case discharg death today total case total recoveri death toll activ case ,"['#Karnataka', '#COVID19']",[],['https://t.co/BJ1ZjdL0eD'],[],"['reports', 'new', 'cases', 'discharges', 'and', 'deaths', 'today', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['report', 'new', 'case', 'discharge', 'death', 'today', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1642,"257 new #COVID19 cases have been reported in #Uttarakhand today, taking the total number of cases to 99,515.  https://t.co/sXzoHxQvXI",new case report today total number case ,"['#COVID19', '#Uttarakhand']",[],['https://t.co/sXzoHxQvXI'],[],"['new', 'cases', 'have', 'been', 'reported', 'in', 'today', 'taking', 'total', 'number', 'of', 'cases', 'to']","['new', 'case', 'reported', 'today', 'taking', 'total', 'number', 'case']",1
1643,"2055 new #COVID19 cases have been reported in #Kerala today. Number of active cases now at 24,231; so far 10,86,669 patients have recovered.  https://t.co/V6TdrWfu6c",new case report today number activ case far patient recov ,"['#COVID19', '#Kerala']",[],['https://t.co/V6TdrWfu6c'],[],"['new', 'cases', 'have', 'been', 'reported', 'in', 'today', 'number', 'of', 'active', 'cases', 'now', 'at', 'so', 'far', 'patients', 'have', 'recovered']","['new', 'case', 'reported', 'today', 'number', 'active', 'case', 'far', 'patient', 'recovered']",1
1644,"#TamilNadu reports 1,971 new #COVID19 cases, 1,131 discharges and 9 deaths.   Total cases: 8,75,190 Total dishcarges: 8,51,222 Death toll: 12,650 Active cases: 11,318  https://t.co/AbBFha9hPY",report new case discharg death total case total dishcarg death toll activ case ,"['#TamilNadu', '#COVID19']",[],['https://t.co/AbBFha9hPY'],[],"['reports', 'new', 'cases', 'discharges', 'and', 'deaths', 'total', 'cases', 'total', 'dishcarges', 'death', 'toll', 'active', 'cases']","['report', 'new', 'case', 'discharge', 'death', 'total', 'case', 'total', 'dishcarges', 'death', 'toll', 'active', 'case']",1
1645,"#Punjab reports 2,820 fresh COVID-19 cases, 2,141 discharges, and 46 deaths  Total cases: 2,28,864 Total cured cases: 1,98,972 Active cases: 23,271 Death toll: 6,621  https://t.co/PiT2HXQ1O2",report fresh covid case discharg death total case total cure case activ case death toll ,['#Punjab'],[],['https://t.co/PiT2HXQ1O2'],[],"['reports', 'fresh', 'covid', 'cases', 'discharges', 'and', 'deaths', 'total', 'cases', 'total', 'cured', 'cases', 'active', 'cases', 'death', 'toll']","['report', 'fresh', 'covid', 'case', 'discharge', 'death', 'total', 'case', 'total', 'cured', 'case', 'active', 'case', 'death', 'toll']",1
1646,"#Mumbai reports 6123 new #COVID19 cases, taking the total number of cases to 3,91,751  https://t.co/SsqwicXAR3",report new case total number case ,"['#Mumbai', '#COVID19']",[],['https://t.co/SsqwicXAR3'],[],"['reports', 'new', 'cases', 'taking', 'total', 'number', 'of', 'cases', 'to']","['report', 'new', 'case', 'taking', 'total', 'number', 'case']",1
1647,"#Haryana reports 1,383 new #COVID19 cases, 761 recoveries and 7 deaths today.   Total cases 2,86,327 Total recoveries 2,74,785 Death toll 3,132  Active cases 8,410  https://t.co/U31PJOedJl",report new case recoveri death today total case total recoveri death toll activ case ,"['#Haryana', '#COVID19']",[],['https://t.co/U31PJOedJl'],[],"['reports', 'new', 'cases', 'recoveries', 'and', 'deaths', 'today', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['report', 'new', 'case', 'recovery', 'death', 'today', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1648,"#MadhyaPradesh reports 2,142 new COVID19 cases, 1,175 recoveries and 10 deaths in the last 24 hours  Total cases 2,86,407 Total recoveries 2,69,465 Death toll 3,947  Active cases 12,995  https://t.co/Xe3Hz6YXwT",report new covid case recoveri death hour total case total recoveri death toll activ case ,['#MadhyaPradesh'],[],['https://t.co/Xe3Hz6YXwT'],[],"['reports', 'new', 'covid', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'total', 'cases', 'total', 'recoveries', 'death', 'toll', 'active', 'cases']","['report', 'new', 'covid', 'case', 'recovery', 'death', 'last', 'hour', 'total', 'case', 'total', 'recovery', 'death', 'toll', 'active', 'case']",1
1857,"#Telangana - 163 new #COVID19 cases, 157 Recoveries &amp; 1 death reported in State till 8pm of 1st March. Now Total cases in state rises to 2,99,086 including 2,95,544 Cured/Recovered, 1907 Active Cases &amp;  1635 Fatalities - State Health Dept #coronavirus @News18MP @News18CG  https://t.co/KexblspU23",new case recoveri death report state till march total case state rise includ curedrecov activ case fatal state health dept ,"['#Telangana', '#COVID19', '#coronavirus']","['@News18MP', '@News18CG']",['https://t.co/KexblspU23'],[],"['new', 'cases', 'recoveries', 'death', 'reported', 'in', 'state', 'till', 'pm', 'of', 'st', 'march', 'now', 'total', 'cases', 'in', 'state', 'rises', 'to', 'including', 'cured/recovered', 'active', 'cases', 'fatalities', 'state', 'health', 'dept']","['new', 'case', 'recovery', 'death', 'reported', 'state', 'till', 'pm', 'st', 'march', 'total', 'case', 'state', 'rise', 'including', 'curedrecovered', 'active', 'case', 'fatality', 'state', 'health', 'dept']",1
1858,"#HimachalPradesh - 4 new #COVID19 +ve cases, 20 Discharges &amp; No Death reported in state today till 2pm.  Now Total cases in state rises to 58,781 including 57,367 Cured/ Discharged, 418 Active Cases &amp; 983 Deceased -State Health Dept  #coronavirus @News18MP @News18CG  https://t.co/S5TuoFwUOS",new case discharg death report state today till total case state rise includ cure discharg activ case deceas state health dept ,"['#HimachalPradesh', '#COVID19', '#coronavirus']","['@News18MP', '@News18CG']",['https://t.co/S5TuoFwUOS'],[],"['new', 've', 'cases', 'discharges', 'no', 'death', 'reported', 'in', 'state', 'today', 'till', 'pm', 'now', 'total', 'cases', 'in', 'state', 'rises', 'to', 'including', 'cured', 'discharged', 'active', 'cases', 'deceased', 'state', 'health', 'dept']","['new', 've', 'case', 'discharge', 'death', 'reported', 'state', 'today', 'till', 'pm', 'total', 'case', 'state', 'rise', 'including', 'cured', 'discharged', 'active', 'case', 'deceased', 'state', 'health', 'dept']",1
1898,"Four more coronavirus deaths report in Sri Lanka, total death count is now 493 #LKA #SriLanka #COVID19SL",coronaviru death report sri lanka total death count ,"['#LKA', '#SriLanka', '#COVID19SL']",[],[],[],"['four', 'more', 'coronavirus', 'deaths', 'report', 'in', 'sri', 'lanka', 'total', 'death', 'count', 'is', 'now']","['four', 'coronavirus', 'death', 'report', 'sri', 'lanka', 'total', 'death', 'count']",1
1925,"2,791 new #coronavirus cases in #Kerala, tally 10.76 lakh, active cases 42,819; toll 4,287 with 16 more deaths: Health Minister K K Shailaja",new case talli lakh activ case toll death health minist shailaja ,"['#coronavirus', '#Kerala,']",[],[],[],"['new', 'cases', 'in', 'tally', 'lakh', 'active', 'cases', 'toll', 'with', 'more', 'deaths', 'health', 'minister', 'k', 'k', 'shailaja']","['new', 'case', 'tally', 'lakh', 'active', 'case', 'toll', 'death', 'health', 'minister', 'k', 'k', 'shailaja']",1
1937,"Pakistan reports 1,714 new coronavirus cases, 38 deaths  https://t.co/q3R4OJylSX…  https://t.co/uZ8FcxzHAh",pakistan report new coronaviru case death ,[],[],"['https://t.co/q3R4OJylSX…', 'https://t.co/uZ8FcxzHAh']",[],"['pakistan', 'reports', 'new', 'coronavirus', 'cases', 'deaths']","['pakistan', 'report', 'new', 'coronavirus', 'case', 'death']",1
1991,"Coronavirus: 24,882 fresh COVID-19 cases in India, nearly 7% higher than yesterday; 1.13 crore total cases, 1,58,446 deaths   https://t.co/oDTTrXIPcZ",coronaviru fresh covid case india nearli higher yesterday crore total case death ,[],[],['https://t.co/oDTTrXIPcZ'],[],"['coronavirus', 'fresh', 'covid', 'cases', 'in', 'india', 'nearly', 'higher', 'than', 'yesterday', 'crore', 'total', 'cases', 'deaths']","['coronavirus', 'fresh', 'covid', 'case', 'india', 'nearly', 'higher', 'yesterday', 'crore', 'total', 'case', 'death']",1
1996,"17,864 new coronavirus cases detected in Maharashtra today, 87 deaths reported  https://t.co/S0OiwBeVDk #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",new coronaviru case detect maharashtra today death report ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/S0OiwBeVDk'],[],"['new', 'coronavirus', 'cases', 'detected', 'in', 'maharashtra', 'today', 'deaths', 'reported']","['new', 'coronavirus', 'case', 'detected', 'maharashtra', 'today', 'death', 'reported']",1
2081,"India Reports 40,953 New COVID Cases Highest Of 2021 @MoHFW_INDIA  #CoronaVirusUpdates #covid19cases #vaccinationdrive #coronavirus #COVID19India   https://t.co/ZmC6v1K6mG",india report new covid case highest ,"['#CoronaVirusUpdates', '#covid19cases', '#vaccinationdrive', '#coronavirus', '#COVID19India']",['@MoHFW_INDIA'],['https://t.co/ZmC6v1K6mG'],[],"['india', 'reports', 'new', 'covid', 'cases', 'highest', 'of']","['india', 'report', 'new', 'covid', 'case', 'highest']",1
2085,"Coronavirus News Live Updates: Delhi reports 823 new COVID-19 cases, 1 death in past 24 hours  https://t.co/QsXQxefgvB #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat delhi report new covid case death past hour ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/QsXQxefgvB'],[],"['coronavirus', 'news', 'live', 'updates', 'delhi', 'reports', 'new', 'covid', 'cases', 'death', 'in', 'past', 'hours']","['coronavirus', 'news', 'live', 'update', 'delhi', 'report', 'new', 'covid', 'case', 'death', 'past', 'hour']",1
2098,"#Updated | #India reports 47,009 new cases of #Coronavirus and 213 related deaths, highest cases reported in a single day this year: COVID19org",report new case relat death highest case report singl day year covidorg ,"['#Updated', '#India', '#Coronavirus']",[],[],[],"['reports', 'new', 'cases', 'of', 'and', 'related', 'deaths', 'highest', 'cases', 'reported', 'in', 'a', 'single', 'day', 'this', 'year', 'covidorg']","['report', 'new', 'case', 'related', 'death', 'highest', 'case', 'reported', 'single', 'day', 'year', 'covidorg']",1
2166,"*FLASH*   India reports 43,810 new cases of Coronavirus and 190 related deaths, highest cases reported in a single day this year",flash india report new case coronaviru relat death highest case report singl day year ,[],[],[],[],"['flash', 'india', 'reports', 'new', 'cases', 'of', 'coronavirus', 'and', 'related', 'deaths', 'highest', 'cases', 'reported', 'in', 'a', 'single', 'day', 'this', 'year']","['flash', 'india', 'report', 'new', 'case', 'coronavirus', 'related', 'death', 'highest', 'case', 'reported', 'single', 'day', 'year']",1
2179,"Mumbai News Live: City reports 5,185 new coronavirus cases, six deaths - The Times of India  https://t.co/tMIjIEog1r",mumbai news live citi report new coronaviru case death time india ,[],[],['https://t.co/tMIjIEog1r'],[],"['mumbai', 'news', 'live', 'city', 'reports', 'new', 'coronavirus', 'cases', 'six', 'deaths', 'times', 'of', 'india']","['mumbai', 'news', 'live', 'city', 'report', 'new', 'coronavirus', 'case', 'six', 'death', 'time', 'india']",1
2185,"Highest one-day rise of 1,790 new coronavirus cases in #Gujarat, tally 2.92 lakh; toll 4,466 with 8 more deaths: Health Dept",highest oneday rise new coronaviru case talli lakh toll death health dept ,"['#Gujarat,']",[],[],[],"['highest', 'oneday', 'rise', 'of', 'new', 'coronavirus', 'cases', 'in', 'tally', 'lakh', 'toll', 'with', 'more', 'deaths', 'health', 'dept']","['highest', 'oneday', 'rise', 'new', 'coronavirus', 'case', 'tally', 'lakh', 'toll', 'death', 'health', 'dept']",1
2306,"West Bengal reports 639 new COVID-19 cases, Kolkata has 225 new cases",west bengal report new covid case kolkata new case ,[],[],[],[],"['west', 'bengal', 'reports', 'new', 'covid', 'cases', 'kolkata', 'has', 'new', 'cases']","['west', 'bengal', 'report', 'new', 'covid', 'case', 'kolkata', 'new', 'case']",1
2416,"West Bengal reports 639 new COVID-19 cases, Kolkata has 225 new cases",west bengal report new covid case kolkata new case ,[],[],[],[],"['west', 'bengal', 'reports', 'new', 'covid', 'cases', 'kolkata', 'has', 'new', 'cases']","['west', 'bengal', 'report', 'new', 'covid', 'case', 'kolkata', 'new', 'case']",1
